contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,title
,Liu Zhongdong,,,P10664,,"Zhongdong, Liu",Liu Zhongdong
,"Grace, Ann",,,P10665,,Ann Grace,"Grace, Ann"
,"Garnet, Carla",,,P10666,,Carla Garnet,"Garnet, Carla"
,"Minard, Kathryn",,,P10667,,Kathryn Minard,"Minard, Kathryn"
,"Mason, Kerry",,,P10668,,Kerry Mason,"Mason, Kerry"
,"Book, Linda",,,P10669,,Linda Book,"Book, Linda"
,"Katzman, Marianne",,,P10670,,Marianne Katzman,"Katzman, Marianne"
,"Monk, Philip",,,P10671,,Philip Monk,"Monk, Philip"
,"Bulger, Stephen",,,P10672,,Stephen Bulger,"Bulger, Stephen"
,Aaron M. Milrad,,,P10673,,"Milrad, Aaron M.",Aaron M. Milrad
,Alan Barkley & Linda Holoway,,,P10677,,"Barkley, Alan and Linda Holoway",Alan Barkley & Linda Holoway
,American Fed. of the Arts,,,P10678,,American Fed. of the Arts,American Fed. of the Arts
,Arthur Fortesque Mckay,,,P10679,,"Mckay, Arthur Fortesque",Arthur Fortesque Mckay
,Atkinson Foundation,,,P10680,,Atkinson Foundation,Atkinson Foundation
,Avie Bennett,,,P10682,,"Bennett, Avie",Avie Bennett
,Barbara Warrall,,,P10683,,"Warrall, Barbara",Barbara Warrall
,Barry Callaghan,,,P10684,,"Callaghan, Barry",Barry Callaghan
,Barry Campbell,,,P10685,,"Campbell, Barry",Barry Campbell
,Ben Greenberg,,,P10686,,"Greenberg, Ben",Ben Greenberg
,Beverly Shipton,,,P10687,,"Shipton, Beverly",Beverly Shipton
,C. Thomas,,,P10688,,"Thomas, C.",C. Thomas
,C.H. Kowallek,,,P10689,,"Kowallek, C.H.",C.H. Kowallek
,Cecelia Quarrington,,,P10690,,"Quarrington, Cecelia",Cecelia Quarrington
,David M. Campbell,,,P10691,,"Campbell, David M.",David M. Campbell
,David Wurfel,,,P10692,,"Wurfel, David",David Wurfel
,Estate of Peter MacKendrick (c/o Debra Slack),,,P10693,,"MacKendrick, Peter (Estate of, c/o Debra Slack)",Estate of Peter MacKendrick (c/o Debra Slack)
,Dr. Bruce Ward,,,P10694,,"Ward, Dr. Bruce",Dr. Bruce Ward
,Dr. C.M. Gilbert,,,P10695,,"Gilbert, Dr. C.M.",Dr. C.M. Gilbert
,Dr. David Dickson,,,P10696,,"Dickson, Dr. David",Dr. David Dickson
,Dr. Frank Marchese,,,P10697,,"Marchese, Dr. Frank",Dr. Frank Marchese
,Dr. George Wortsman,,,P10698,,"Wortsman, Dr. George",Dr. George Wortsman
,Dr. Gerald Halbert,,,P10699,,"Halbert, Dr. Gerald",Dr. Gerald Halbert
,Dr. Marvin Paul,,,P10700,,"Paul, Dr. Marvin",Dr. Marvin Paul
,Dr. Michael Pflug,,,P10701,,"Pflug, Dr. Michael",Dr. Michael Pflug
,Dr. Murray Ross,,,P10703,,"Ross, Dr. Murray",Dr. Murray Ross
,Dr. Roberta Osak,,,P10704,,"Osak, Dr. Roberta",Dr. Roberta Osak
,E.R. Wood,,,P10705,,"Wood, E.R.",E.R. Wood
,Edward and Marla Schwartz,,,P10706,,"Schwartz, Edward and Marla",Edward and Marla Schwartz
,Edward Harvey,,,P10707,,"Harvey, Edward",Edward Harvey
,Eileen Lam,,,P10708,,"Lam, Eileen",Eileen Lam
,Estate of Austin Cooper,,,P10709,,"Cooper, Austin (Estate of)",Estate of Austin Cooper
,Estate of Barbara Turnbull,,,P10710,,"Turnbull, Barbara (Estate of)",Estate of Barbara Turnbull
,Faculty of Fine Arts,,,P10711,,Faculty of Fine Arts,Faculty of Fine Arts
,Faculty of Osgoode Law School,,,P10712,,Faculty of Osgoode Law School,Faculty of Osgoode Law School
,Goldhar Family,,,P10713,,Goldhar Family,Goldhar Family
,Guy Metraux,,,P10714,,"Metraux, Guy",Guy Metraux
,H. Arthurs,,,P10715,,"Arthurs, H.",H. Arthurs
,INCO (CP AIR),,,P10716,,INCO (CP AIR),INCO (CP AIR)
,Jesmin and Hamid Khan,,,P10717,,"Khan, Jesmin and Hamid",Jesmin and Hamid Khan
,John Morris,,,P10718,,"Morris, John",John Morris
,Judith and Marshall Cohen,,,P10719,,"Cohen, Judith and Marshall",Judith and Marshall Cohen
,Judy Steed,,,P10720,,"Steed, Judy",Judy Steed
,Katherine Knight and David Craig,,,P10721,,"Knight, Katherine and David Craig",Katherine Knight and David Craig
,Kathleen Richards,,,P10722,,"Richards, Kathleen",Kathleen Richards
,Laura Sabia,,,P10723,,"Sabia, Laura",Laura Sabia
,Lithography Workshop,,,P10724,,Lithography Workshop,Lithography Workshop
,Mark Schaefer,,,P10725,,"Schaefer, Mark",Mark Schaefer
,Martin and Joan Goldfarb,,,P10726,,"Goldfarb, Martin and Joan",Martin and Joan Goldfarb
,Marvin Geist,,,P10727,,"Geist, Marvin",Marvin Geist
,Mary Williamson,,,P10728,,"Williamson, Mary",Mary Williamson
,Michael M. Koerner,,,P10729,,"Koerner, Michael M.",Michael M. Koerner
,Michael Sax,,,P10730,,"Sax, Michael",Michael Sax
,Michael Shulman,,,P10731,,"Shulman, Michael",Michael Shulman
,Miriam Schneid-Ofseyer,,,P10732,,"Schneid-Ofseyer, Miriam",Miriam Schneid-Ofseyer
,Mr. and Mrs. Edward Schwartz,,,P10733,,"Schwartz, Mr. and Mrs. Edward",Mr. and Mrs. Edward Schwartz
,Mr. and Mrs. Howard Tanenbaum,,,P10734,,"Tanenbaum, Mr. and Mrs. Howard",Mr. and Mrs. Howard Tanenbaum
,Mr. and Mrs. Percy Waxer,,,P10735,,"Waxer, Mr. and Mrs. Percy",Mr. and Mrs. Percy Waxer
,Mr. Ben Lustig,,,P10736,,"Lustig, Mr. Ben",Mr. Ben Lustig
,Mr. Bill Alcamo,,,P10737,,"Alcamo, Mr. Bill",Mr. Bill Alcamo
,Mr. Henry E. Liss,,,P10738,,"Liss, Mr. Henry E.",Mr. Henry E. Liss
,Mr. Herb Basian,,,P10739,,"Basian, Mr. Herb",Mr. Herb Basian
,Mr. Hubert B. Sceats,,,P10740,,"Sceats, Mr. Hubert B.",Mr. Hubert B. Sceats
,Mr. Leon Liffmann,,,P10741,,"Liffmann, Mr. Leon",Mr. Leon Liffmann
,Louis L. Odette,,,P10742,,"Odette, Louis L.",Louis L. Odette
,Mr. Marshall Cohen,,,P10743,,"Cohen, Mr. Marshall",Mr. Marshall Cohen
,Mr. Michael Budd,,,P10744,,"Budd, Mr. Michael",Mr. Michael Budd
,Mr. Peter Bedrich,,,P10745,,"Bedrich, Mr. Peter",Mr. Peter Bedrich
,Mr. Peter Daniels,,,P10746,,"Daniels, Mr. Peter",Mr. Peter Daniels
,Mr. Peter Valjas,,,P10747,,"Valjas, Mr. Peter",Mr. Peter Valjas
,Mr. Ray Renaud,,,P10749,,"Renaud, Mr. Ray",Mr. Ray Renaud
,Mr. Robert Bell,,,P10750,,"Bell, Mr. Robert",Mr. Robert Bell
,Mr. William Daniels,,,P10751,,"Daniels, Mr. William",Mr. William Daniels
,Mrs. Burtha Liss,,,P10752,,"Liss, Mrs. Burtha",Mrs. Burtha Liss
,Mrs. Marla Schwartz,,,P10753,,"Schwartz, Mrs. Marla",Mrs. Marla Schwartz
,Mrs. R.B. Hungerford,,,P10754,,"Hungerford, Mrs. R.B.",Mrs. R.B. Hungerford
,Mrs. Sandra Jackson,,,P10755,,"Jackson, Mrs. Sandra",Mrs. Sandra Jackson
,Mrs. Vivian Campbell,,,P10756,,"Campbell, Mrs. Vivian",Mrs. Vivian Campbell
,Ms Sandra Jackson,,,P10757,,"Jackson, Ms Sandra",Ms Sandra Jackson
,Ms. Harriet Dennis,,,P10758,,"Dennis, Ms. Harriet",Ms. Harriet Dennis
,Ms. Jill Lustig,,,P10759,,"Lustig, Ms. Jill",Ms. Jill Lustig
,Ontario Arts Council,,,P10761,,Ontario Arts Council,Ontario Arts Council
,Ontario Heritage Foundation,,,P10762,,Ontario Heritage Foundation,Ontario Heritage Foundation
,Owen B. Shime,,,P10763,,"Shime, Owen B.",Owen B. Shime
,Patricia Tomlinson,,,P10764,,"Tomlinson, Patricia",Patricia Tomlinson
,Prof. Chester Sadowski,,,P10765,,"Sadowski, Prof. Chester",Prof. Chester Sadowski
,Prof. Zdenka Volavka,,,P10766,,"Volavka, Prof. Zdenka",Prof. Zdenka Volavka
,Richard Storr,,,P10767,,"Storr, Richard",Richard Storr
,Shelagh Wilkinson,,,P10768,,"Wilkinson, Shelagh",Shelagh Wilkinson
,City of Montreal,,,P10769,,"Montreal, City of",City of Montreal
,Estate of Diane Simard Broadfoot,,,P10770,,"Broadfoot, Diane Simard (Estate of)",Estate of Diane Simard Broadfoot
,Frances Barwick Estate,,,P10772,,"Barwick, Frances (Estate of)",Frances Barwick Estate
,The Josef Albers Foundation,,,P10773,,"Josef Albers Foundation, The",The Josef Albers Foundation
,The Thomas Howarth Collection,,,P10774,,"Thomas Howarth Collection, The",The Thomas Howarth Collection
,Walter Carsen,,,P10776,,"Carsen, Walter",Walter Carsen
,Winberg Foundation,,,P10778,,Winberg Foundation,Winberg Foundation
,York Faculty of Fine Arts,,,P10779,,York Faculty of Fine Arts,York Faculty of Fine Arts
,York Wilson Foundation for the Visual Arts,,,P10780,,York Wilson Foundation for the Visual Arts,York Wilson Foundation for the Visual Arts
contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,Display name
