contact info,Display name,documents serial,long bio,personality serial,short bio,Sorting name,title
,Ken Danby,,,P10118,,"Danby, Ken",Ken Danby
,Honor� Daumier (after),,,P10119,,"Daumier (after), Honor�",Honor� Daumier (after)
,Honor� Daumier,,,P10120,,"Daumier, Honor�",Honor� Daumier
,Michael Davey,,,P10121,,"Davey, Michael",Michael Davey
,Eugenio Davidson,,,P10122,,"Davidson, Eugenio",Eugenio Davidson
,Gene Davis,,,P10123,,"Davis, Gene",Gene Davis
,Betty Davison,,,P10124,,"Davison, Betty",Betty Davison
,Georges de Feure,,,P10125,,"de Feure, Georges",Georges de Feure
,Willem De Kooning,,,P10126,,"De Kooning, Willem",Willem De Kooning
,Alphonse Marc De Neuville,,,P10127,,"De Neuville, Alphonse Marc",Alphonse Marc De Neuville
,Louis De Niverville,,,P10128,,"De Niverville, Louis",Louis De Niverville
,Edgar Degas,,,P10129,,"Degas, Edgar",Edgar Degas
,Jean-Marie Delavalle,,,P10130,,"Delavalle, Jean-Marie",Jean-Marie Delavalle
,Stefano Della Bella,,,P10131,,"Della Bella, Stefano",Stefano Della Bella
,Francois-Seraphin Delpeche,,,P10132,,"Delpeche, Francois-Seraphin",Francois-Seraphin Delpeche
,Oya Demirili,,,P10133,,"Demirili, Oya",Oya Demirili
,Mark Di Suvero,,,P10134,,"Di Suvero, Mark",Mark Di Suvero
,Jim Dine,,,P10135,,"Dine, Jim",Jim Dine
,Wendy Dobereiner,,,P10136,,"Dobereiner, Wendy",Wendy Dobereiner
,Alexander Dobkin,,,P10137,,"Dobkin, Alexander",Alexander Dobkin
,Niall Donaghy,,,P10138,,"Donaghy, Niall",Niall Donaghy
,Lynn Donoghue,,,P10139,,"Donoghue, Lynn",Lynn Donoghue
,Robert Downing,,,P10140,,"Downing, Robert",Robert Downing
,Joseph Drapell,,,P10141,,"Drapell, Joseph",Joseph Drapell
,Russell Drisch,,,P10142,,"Drisch, Russell",Russell Drisch
,Gregory Dru,,,P10143,,"Dru, Gregory",Gregory Dru
,Barbara Dunphy,,,P10144,,"Dunphy, Barbara",Barbara Dunphy
,Henry Dunsmore,,,P10145,,"Dunsmore, Henry",Henry Dunsmore
,Thomasee Echalook,,,P10146,,"Echalook, Thomasee",Thomasee Echalook
,Eegeevoodloo (attributed to),,,P10147,,Eegeevoodloo (attributed to),Eegeevoodloo (attributed to)
,Elijassiapik,,,P10148,,Elijassiapik,Elijassiapik
,Eli Elijassiapik,,,P10149,,"Elijassiapik, Eli",Eli Elijassiapik
,Kosso Eloul,,,P10150,,"Eloul, Kosso",Kosso Eloul
,Sorel Etrog,,,P10151,,"Etrog, Sorel",Sorel Etrog
,Janieta Eyre,,,P10152,,"Eyre, Janieta",Janieta Eyre
,Zev Farber,,,P10153,,"Farber, Zev",Zev Farber
,Denis Farley,,,P10154,,"Farley, Denis",Denis Farley
,Andre Fauteux,,,P10155,,"Fauteux, Andre",Andre Fauteux
,Murray Favro,,,P10156,,"Favro, Murray",Murray Favro
,Bill Featherston,,,P10157,,"Featherston, Bill",Bill Featherston
,Harold Feist,,,P10158,,"Feist, Harold",Harold Feist
,Paul Feldman,,,P10159,,"Feldman, Paul",Paul Feldman
,Gerald Ferguson,,,P10160,,"Ferguson, Gerald",Gerald Ferguson
,Brendan Fernandes,,"Born in Nairobi, Kenya, Brendan Fernandes was classically trained as a ballet dancer. A torn hamstring in college, however, shifted his career to the visual arts. Since completing his formal education, he attended the Whitney ISP in 2006.He has since exhibited widely, including at the Getty in Los Angeles in 2017 and the 2019 Whitney Biennial.",P10161,Brendan Fernandes (1979) is a Canadian contemporary artist. He specializes in installation and visual art and currently serves as a faculty member at Northwestern University teaching art theory and practice.,"Fernandes, Brendan",Brendan Fernandes
,Phyllis Kurtz Fine,,,P10162,,"Fine, Phyllis Kurtz",Phyllis Kurtz Fine
,D.P Fiorini,,,P10163,,"Fiorini, D.P",D.P Fiorini
,Brian Fisher,,,P10164,,"Fisher, Brian",Brian Fisher
,Lionel Fitzgerald,,,P10165,,"Fitzgerald, Lionel",Lionel Fitzgerald
,Joe Fleming,,,P10166,,"Fleming, Joe",Joe Fleming
,Jean Louis Forain,,,P10167,,"Forain, Jean Louis",Jean Louis Forain
,Tom Forrestall,,,P10168,,"Forrestall, Tom",Tom Forrestall
,Paul Fournier,,,P10169,,"Fournier, Paul",Paul Fournier
,Albert Franck,,,P10170,,"Franck, Albert",Albert Franck
,Helen Frankenthaler,,,P10171,,"Frankenthaler, Helen",Helen Frankenthaler
,Fred Franzen,,,P10172,,"Franzen, Fred",Fred Franzen
,Carole P. Freeman,,,P10173,,"Freeman, Carole P.",Carole P. Freeman
,Lillian Freiman,,,P10174,,"Freiman, Lillian",Lillian Freiman
,Vera Frenkel,,,P10175,,"Frenkel, Vera",Vera Frenkel
,Erik Gamble,,,P10176,,"Gamble, Erik",Erik Gamble
,Atsmon Ganor,,,P10177,,"Ganor, Atsmon",Atsmon Ganor
,Eldon Garnet,,,P10178,,"Garnet, Eldon",Eldon Garnet
,Yves Gaucher,,,P10179,,"Gaucher, Yves",Yves Gaucher
,David General,,,P10180,,"General, David",David General
,Robert Genn,,,P10181,,"Genn, Robert",Robert Genn
,M. Soule Gerber,,,P10182,,"Gerber, M. Soule",M. Soule Gerber
,Lise Gervais,,,P10183,,"Gervais, Lise",Lise Gervais
,C Gesmar,,,P10184,,"Gesmar, C",C Gesmar
,Alberto Giacometti,,,P10185,,"Giacometti, Alberto",Alberto Giacometti
,David Gilhooly,,,P10186,,"Gilhooly, David",David Gilhooly
,Will Gill,,,P10187,,"Gill, Will",Will Gill
,Gerald Gladstone,,,P10188,,"Gladstone, Gerald",Gerald Gladstone
,Eric Glavin,,,P10189,,"Glavin, Eric",Eric Glavin
,Kasimir Glaz,,,P10190,,"Glaz, Kasimir",Kasimir Glaz
,Raphael Goldchain,,,P10191,,"Goldchain, Raphael",Raphael Goldchain
,Jeff Goodman,,,P10192,,"Goodman, Jeff",Jeff Goodman
,Richard Gorman,,,P10193,,"Gorman, Richard",Richard Gorman
,Adolph Gottlieb,,,P10194,,"Gottlieb, Adolph",Adolph Gottlieb
,Rodney Graham,,,P10195,,"Graham, Rodney",Rodney Graham
,J.I.I. Gerard Grandville,,,P10196,,"Grandville, J.I.I. Gerard",J.I.I. Gerard Grandville
,Eugene Grasset,,,P10197,,"Grasset, Eugene",Eugene Grasset
,Paige Gratland and Day Milman,,,P10198,,"Gratland, Paige and Day Milman",Paige Gratland and Day Milman
,Jerry Grey,,,P10199,,"Grey, Jerry",Jerry Grey
